UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Failure Type,Failure Type Encoded
1,M14860,M,298.1,308.6,1551,42.8,0,No Failure,1
2,L47181,L,298.2,308.7,1408,46.3,3,No Failure,1
3,L47182,L,298.1,308.5,1498,49.4,5,No Failure,1
4,L47183,L,298.2,308.6,1433,39.5,7,No Failure,1
5,L47184,L,298.2,308.7,1408,40.0,9,No Failure,1
6,M14865,M,298.1,308.6,1425,41.9,11,No Failure,1
7,L47186,L,298.1,308.6,1558,42.4,14,No Failure,1
8,L47187,L,298.1,308.6,1527,40.2,16,No Failure,1
9,M14868,M,298.3,308.7,1667,28.6,18,No Failure,1
10,M14869,M,298.5,309.0,1741,28.0,21,No Failure,1
11,H29424,H,298.4,308.9,1782,23.9,24,No Failure,1
12,H29425,H,298.6,309.1,1423,44.3,29,No Failure,1
13,M14872,M,298.6,309.1,1339,51.1,34,No Failure,1
14,M14873,M,298.6,309.2,1742,30.0,37,No Failure,1
15,L47194,L,298.6,309.2,2035,19.6,40,No Failure,1
16,L47195,L,298.6,309.2,1542,48.4,42,No Failure,1
17,M14876,M,298.6,309.2,1311,46.6,44,No Failure,1
18,M14877,M,298.7,309.2,1410,45.6,47,No Failure,1
19,H29432,H,298.8,309.2,1306,54.5,50,No Failure,1
20,M14879,M,298.9,309.3,1632,32.5,55,No Failure,1
21,H29434,H,298.9,309.3,1375,42.7,58,No Failure,1
22,L47201,L,298.8,309.3,1450,44.8,63,No Failure,1
23,M14882,M,298.9,309.3,1581,30.7,65,No Failure,1
24,L47203,L,299.0,309.4,1758,25.7,68,No Failure,1
25,M14884,M,299.0,309.4,1561,37.3,70,No Failure,1
26,L47205,L,299.0,309.5,1861,23.3,73,No Failure,1
27,L47206,L,299.1,309.5,1512,39.0,75,No Failure,1
28,H29441,H,299.1,309.4,1811,24.6,77,No Failure,1
29,L47208,L,299.1,309.4,1439,44.2,82,No Failure,1
30,L47209,L,299.0,309.4,1693,30.1,84,No Failure,1
31,M14890,M,299.1,309.5,1339,48.2,86,No Failure,1
32,L47211,L,299.0,309.4,1798,25.5,89,No Failure,1
33,L47212,L,299.0,309.4,1419,48.3,91,No Failure,1
34,L47213,L,298.9,309.3,1665,32.5,93,No Failure,1
35,M14894,M,298.8,309.1,1559,34.7,95,No Failure,1
36,M14895,M,298.8,309.2,1452,48.6,98,No Failure,1
37,M14896,M,298.9,309.2,1581,36.7,101,No Failure,1
38,L47217,L,298.8,309.1,1439,39.2,104,No Failure,1
39,H29452,H,298.9,309.2,1379,50.7,106,No Failure,1
40,L47219,L,298.8,309.1,1350,52.5,111,No Failure,1
41,L47220,L,298.8,309.1,1362,45.4,113,No Failure,1
42,L47221,L,298.8,309.1,1368,50.8,115,No Failure,1
43,M14902,M,298.8,309.1,1368,49.1,117,No Failure,1
44,H29457,H,298.8,309.2,1372,48.5,120,No Failure,1
45,M14904,M,298.8,309.1,1472,47.5,125,No Failure,1
46,L47225,L,298.8,309.1,1489,49.1,128,No Failure,1
47,M14906,M,298.7,309.0,1843,25.8,130,No Failure,1
48,L47227,L,298.8,309.1,1418,46.3,133,No Failure,1
49,H29462,H,298.8,309.2,1425,53.9,135,No Failure,1
50,M14909,M,298.9,309.2,1412,44.1,140,No Failure,1
51,L47230,L,298.9,309.1,2861,4.6,143,Power Failure,3
52,L47231,L,298.9,309.1,1383,54.9,145,No Failure,1
53,H29466,H,298.8,309.0,1497,43.8,147,No Failure,1
54,L47233,L,298.7,309.0,1565,35.1,152,No Failure,1
55,L47234,L,298.7,309.0,1691,30.1,154,No Failure,1
56,L47235,L,298.8,309.1,1512,40.7,156,No Failure,1
57,L47236,L,298.8,309.1,1477,42.4,158,No Failure,1
