UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
8794,M14860,M,298.7457691,308.7264906,2021,28.12353646,98
4975,L47181,L,304.0465716,308.396588,1425,33.93852636,46
6979,L47182,L,302.0343443,307.1268467,2579,69.59112363,88
546,L47183,L,300.8076581,310.61886,1212,18.04082817,59
5933,L47184,L,296.7353715,309.5606557,1436,74.54405345,175
6204,M14865,M,296.7351496,312.712178,2502,62.77915368,147
8376,L47186,L,295.8343692,305.9600876,1839,67.97111718,228
838,L47187,L,303.2688205,310.9153302,2186,71.46352245,146
1893,M14868,M,300.8302581,311.8798859,2469,58.63595915,41
1389,M14869,M,301.8142677,311.8518412,2024,61.22317174,76
7166,H29424,H,295.4893773,312.8771991,2666,35.67317199,238
1458,H29425,H,304.2231706,311.6051733,2758,40.96077708,75
2801,M14872,M,302.9584723,313.2152615,1312,71.68493907,176
3304,M14873,M,297.2535198,308.3945185,1402,31.33703036,142
9646,L47194,L,296.9727897,309.7759963,1858,6.853746919,187
7287,L47195,L,296.9873215,305.8140453,1887,59.32851926,67
6474,M14876,M,298.0990286,305.7563565,2327,45.52586685,78
3287,M14877,M,300.1277592,307.6450256,2636,63.12297006,208
7490,H29432,H,299.2738942,306.5165383,1520,9.300132209,154
1173,M14879,M,297.9793081,307.8077121,2585,49.02568891,74
1712,H29434,H,300.9290466,307.1340507,2161,21.83298865,182
5497,L47201,L,296.5833435,305.9310122,1442,69.55795368,86
8973,M14882,M,297.9877308,313.0653636,2575,11.80144361,14
7488,L47203,L,298.670529,305.7666074,2077,65.17544305,179
1029,M14884,M,299.4958439,311.6622654,2514,10.24674954,158
6546,L47205,L,302.5236188,306.9323979,2374,5.62708748,244
2251,L47206,L,297.1369988,313.0890599,2764,20.91232651,89
4150,H29441,H,300.0309568,312.9316471,1607,28.04564258,6
4384,L47208,L,300.750214,310.9965993,2254,49.41129459,12
7452,L47209,L,295.7273438,311.1450966,2039,13.38955069,181
3670,M14890,M,300.8894126,305.743247,1818,35.63761917,12
9261,L47211,L,296.8688219,313.6774597,2110,18.67039023,243
8476,L47212,L,295.8984747,312.8104441,2837,66.06608181,147
9025,L47213,L,304.0297469,312.9503604,1201,7.073561779,225
4678,M14894,M,304.1838147,311.0398808,1872,29.7122665,9
6091,M14895,M,302.7372556,308.4927741,2034,49.76403302,241
3489,M14896,M,298.1024467,312.9385541,2152,70.27281936,123
3213,L47217,L,296.1985834,308.0612871,1999,66.98992117,179
917,H29452,H,301.5949438,310.2579635,2668,68.96997756,164
8763,L47219,L,299.3494029,306.5078209,2278,8.37571978,179
2095,L47220,L,296.4227518,313.1678406,2401,65.01921343,125
6270,L47221,L,299.8556276,306.8402407,1629,60.57763572,242
4907,M14902,M,295.6163744,307.5216641,1248,69.49702407,26
6043,H29457,H,303.6657477,310.2208867,1489,26.48275226,161
8813,M14904,M,297.6807758,311.8891533,1582,70.17649974,99
8963,L47225,L,301.395205,310.7167456,2159,33.11227099,189
6732,M14906,M,298.1677419,307.5802847,1357,49.96245711,15
4794,L47227,L,300.0846258,305.7076386,2424,34.68023056,58
9807,H29462,H,300.3297346,311.8329197,1559,34.93280574,20
65,M14909,M,297.000661,313.6801793,2360,43.59517497,15
3699,L47230,L,304.2201786,312.2602963,2634,29.71146446,208
202,L47231,L,302.431222,309.4276736,1335,61.51125318,206
4238,H29466,H,303.9433903,313.0205148,2422,49.92889994,12
3170,L47233,L,303.5324116,309.0197662,2341,54.01421944,32
2865,L47234,L,300.8006798,309.9519661,1831,20.61933346,181
6361,L47235,L,303.781243,309.5647511,2741,74.385081,68
5413,L47236,L,296.114131,309.3257534,2577,51.86081992,154
7676,L47237,L,297.1030423,311.9790452,1548,18.15585894,51
9350,M14918,M,295.7160911,309.9668281,2466,58.43568972,64
2310,L47239,L,298.293039,308.2654087,2808,16.44638671,43
6428,L47240,L,298.8758311,307.7910812,2065,8.414420451,157
102,M14921,M,297.7964111,306.0057533,2031,42.20588724,150
377,L47242,L,302.9243851,310.4238808,1229,44.09654386,78
8398,M14923,M,298.5821306,307.5626875,2658,17.55669384,227
3664,L47244,L,297.8845975,306.8998848,1695,29.16198714,210
9827,L47245,L,300.292804,310.9960227,2029,72.65200473,221
6295,M14926,M,296.5965029,311.217795,1317,24.5482353,15
1061,H29481,H,302.6802122,311.7924546,2333,15.12535482,182
5594,L47248,L,295.9858659,309.7789729,1283,76.05851059,17
5564,L47249,L,304.3793598,312.9418423,1991,25.80784305,217
5125,M14930,M,302.4046519,313.2843763,1232,53.32246741,16
9082,L47251,L,297.1281843,312.2397046,2620,20.65758121,202
1563,L47252,L,295.3508035,310.8483072,1477,43.84882314,51
3196,L47253,L,302.8022451,308.1601397,1873,31.92132863,172
811,L47254,L,301.8030876,313.6618539,2021,73.80297021,55
9251,L47255,L,302.0068659,307.920503,2621,35.30826767,92
9453,L47256,L,302.3956872,307.3415211,2191,46.32788061,181
8704,L47257,L,295.9812108,309.2814483,2352,72.57898416,8
4413,L47258,L,298.5978847,306.1604086,1473,75.81625704,240
4399,L47259,L,296.3659953,313.6258052,2552,11.2007289,144
9318,H29494,H,303.2405515,310.4663118,2469,64.53854784,26
5432,L47261,L,301.0343428,310.2113119,2487,31.61808078,36
4178,L47262,L,298.3442618,311.0119499,2742,47.10352981,21
658,L47263,L,295.8847368,309.7258915,2040,31.10350015,71
6337,L47264,L,298.1610374,305.9597145,1336,33.00125977,194
53,M14945,M,298.2916866,310.6597214,2650,15.36482862,165
5111,H29500,H,302.0123768,311.5010084,2771,45.49739817,98
1109,L47267,L,301.1655287,309.0756674,2198,43.60092086,223
987,M14948,M,303.4623572,311.8340941,2788,17.58510141,71
6027,M14949,M,299.6443773,307.5387105,2323,43.23797526,171
8048,L47270,L,296.4002671,307.4923404,1755,74.64181706,122
