UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Predicted_Value
1176,M16035,M,297.2,308.3,1578,37.8,3,0,No Failure
458,L47637,L,297.4,308.6,1276,53.6,103,0,No Failure
1794,L48973,L,298.1,307.8,1761,28.2,76,0,No Failure
877,L48056,L,295.7,306.3,1915,22.4,79,0,No Failure
558,M15417,M,297.5,309.4,1433,48.3,139,0,No Failure
1229,M16088,M,297.1,308.4,1583,38.2,150,0,No Failure
1429,L48608,L,298.8,309.9,1568,33.7,13,0,No Failure
627,L47806,L,298.4,310.1,1533,35.2,92,0,No Failure
1109,L48288,L,296.6,307.4,1504,45.8,58,0,No Failure
69,L47248,L,298.8,308.9,1527,32.4,189,0,No Failure
1241,L48420,L,297.2,308.6,1636,31.3,192,0,No Failure
1165,L48344,L,297.1,308.1,1754,30.3,206,0,No Failure
1876,L49055,L,298.3,308.0,1363,50.1,96,0,No Failure
1186,L48365,L,297.3,308.4,1491,46.5,29,0,No Failure
246,M15105,M,297.9,308.1,1627,31.4,209,0,No Failure
137,H29550,H,298.7,308.5,1420,45.7,143,0,No Failure
1279,L48458,L,298.2,309.4,1398,52.9,79,0,No Failure
1620,L48799,L,297.9,307.7,1590,34.6,57,0,No Failure
1055,H30468,H,296.8,307.8,1627,30.5,117,0,No Failure
1149,L48328,L,297.1,308.0,1348,58.0,162,0,No Failure
1872,L49051,L,298.3,308.1,1840,21.5,88,0,No Failure
1150,L48329,L,297.2,308.1,1446,38.5,164,0,No Failure
860,H30273,H,296.2,307.0,1542,40.6,28,0,No Failure
1211,L48390,L,297.0,308.1,1537,39.0,103,0,No Failure
110,L47289,L,298.9,308.7,1572,34.1,80,0,No Failure
1661,L48840,L,298.2,308.0,1499,44.1,166,0,No Failure
1196,M16055,M,297.0,308.0,1408,47.9,54,0,No Failure
1850,L49029,L,297.7,307.2,1668,32.7,31,0,No Failure
156,H29569,H,298.4,308.2,1987,19.8,198,0,No Failure
1274,L48453,L,298.1,309.4,1397,48.2,63,0,No Failure
1431,L48610,L,298.9,310.0,1378,49.3,18,0,No Failure
1854,L49033,L,297.6,307.2,1486,40.6,42,0,No Failure
406,L47585,L,297.3,308.5,1350,57.6,186,0,No Failure
1326,H30739,H,298.8,310.1,1567,36.8,197,0,No Failure
1401,H30814,H,298.9,310.1,1366,62.7,161,0,No Failure
1952,L49131,L,298.0,307.8,1839,22.7,79,0,No Failure
123,L47302,L,299.0,308.8,1310,50.7,112,0,No Failure
109,H29522,H,298.9,308.8,1621,32.7,75,0,No Failure
475,L47654,L,297.4,309.1,1478,49.8,150,0,No Failure
996,L48175,L,296.3,307.3,1566,35.8,175,0,No Failure
1192,M16051,M,297.2,308.3,1776,28.0,43,0,No Failure
1409,L48588,L,298.9,310.0,1452,48.9,185,0,No Failure
1435,M16294,M,298.8,309.8,1377,49.6,27,0,No Failure
1152,L48331,L,297.0,307.9,1350,47.7,168,0,No Failure
801,M15660,M,297.0,307.9,1882,24.2,97,0,No Failure
1268,M16127,M,298.1,309.6,1549,38.7,43,0,No Failure
916,M15775,M,295.4,305.8,1526,38.2,181,0,No Failure
274,L47453,L,298.1,308.0,1426,46.0,61,0,No Failure
1416,L48595,L,298.7,309.9,1617,33.0,203,0,No Failure
272,M15131,M,298.1,308.1,1452,40.8,56,0,No Failure
1187,L48366,L,297.3,308.4,1417,47.8,31,0,No Failure
1047,L48226,L,296.4,307.5,1331,47.8,99,0,No Failure
1281,H30694,H,298.3,309.5,1521,37.1,84,0,No Failure
592,H30005,H,297.5,309.3,1525,41.7,235,0,No Failure
591,L47770,L,297.5,309.4,1517,36.7,233,0,No Failure
545,M15404,M,297.5,309.4,1831,26.6,105,0,No Failure
